Comment,Designator,Footprint,LCSC,Quantity
+5V,TP303,TestPoint_Keystone_5019_Miniature,C5199800,1
0,R1002,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17168,1
0,"R102,R201,R202",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21189,3
1.8k,R1101,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4177,1
1.8p,C903,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C376870,1
10,R1001,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25077,1
100n,"C201,C202,C203,C204,C502,C601,C602",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,7
100n,C1002,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331,1
100p,"C1003,C1005",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1546,2
100u,"C905,C906,C907,C908,C909",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008,5
10k,R902,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,1
10n,C904,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112,1
120,"R701,R801",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22787,2
16Vrwm,TVS1101,D_SMA-SMB_Universal_Handsoldering,C19077571,1
180k,R901,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17501,1
2.2u,"C701,C702,C801,C802",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C12530,4
22u,"C401,C402,C403,C404",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,4
22u,"C901,C902",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C59461,2
3.3k,R903,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25890,1
33p,C501,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1562,1
4.7u,C503,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19666,1
500mA,F1101,Fuse_1812_4532Metric,C3762102,1
550m,D901,D_SMA_Handsoldering,C22452,1
68n,L1001,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C2044127,1
CANH,TP205,TestPoint_Keystone_5019_Miniature,C5199800,1
CANL,TP206,TestPoint_Keystone_5019_Miniature,C5199800,1
ETQ-P3M150KVN,U902,BWVS005050404R7M00,C3223274,1
GND,"TP305,TP306,TP307,TP308",TestPoint_Keystone_5019_Miniature,C5199800,4
GPS Power,"D701,D801",D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,2
GPS_+3V3,TP506,TestPoint_Keystone_5019_Miniature,C5199800,1
GPS_1PPS,TP504,TestPoint_Keystone_5019_Miniature,C5199800,1
GPS_UART_RX,TP501,TestPoint_Keystone_5019_Miniature,C5199800,1
GPS_UART_TX,TP502,TestPoint_Keystone_5019_Miniature,C5199800,1
GPS_WKUP,TP503,TestPoint_Keystone_5019_Miniature,C5199800,1
GPS_nRST,TP505,TestPoint_Keystone_5019_Miniature,C5199800,1
IMU_+3V3,TP601,TestPoint_Keystone_5019_Miniature,C5199800,1
IMU_INT1,TP603,TestPoint_Keystone_5019_Miniature,C5199800,1
IMU_INT2,TP602,TestPoint_Keystone_5019_Miniature,C5199800,1
IMU_SPI_CS,TP604,TestPoint_Keystone_5019_Miniature,C5199800,1
IMU_SPI_MISO,TP605,TestPoint_Keystone_5019_Miniature,C5199800,1
IMU_SPI_MOSI,TP606,TestPoint_Keystone_5019_Miniature,C5199800,1
IMU_SPI_SCK,TP607,TestPoint_Keystone_5019_Miniature,C5199800,1
LSM6DSOTR,U601,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C481766,1
SI2301CDS-T1-GE3,Q1101,SOT-23-3,C10487,1
SMA,J1001,THT SMA,C5199904,1
TPS5430DDAR,U901,TI_SO-PowerPAD-8,C9864,1
VBATT_PROT,TP302,TestPoint_Keystone_5019_Miniature,C5199800,1
VBATT_RAW,TP301,TestPoint_Keystone_5019_Miniature,C5199800,1
Vbatt PGOOD,D1101,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
Connector,J402,Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal,,1
TPS7A2033PDBVR,U801,SOT-23-5_HandSoldering,,1
LC29HEAMD,GPS501,Quectel LC49,,1
TPS7A2033PDBVR,U701,SOT-23-5_HandSoldering,,1
Connector,J401,Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal,,1
Krill,MCU201,TE_1-2199119-5,,1
