Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1001,100p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,48.84,-110.1,135.0,top
C1002,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,41.83,-116.069999,0.0,top
C1003,100p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,41.83,-117.37,0.0,top
C1004,100p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,47.6575,-114.22,0.0,top
C1005,100p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,47.09,-116.27,-90.0,top
C201,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.042496,-129.5525,180.0,top
C202,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.042499,-128.38125,180.0,top
C203,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.042496,-127.209998,180.0,top
C204,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.042496,-126.038747,180.0,top
C401,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.43,-51.1375,-90.0,top
C402,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.420001,-51.1375,-90.0,top
C403,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.45,-49.51,0.0,top
C404,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.45,-52.52,0.0,top
C501,33p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,65.75,-98.042499,90.0,top
C502,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,66.93,-98.042499,90.0,top
C503,4.7u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,68.5,-97.747498,90.0,top
C601,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,57.67,-122.270834,-90.0,top
C602,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,57.67,-124.608334,90.0,top
C701,2.2u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,67.1675,-86.8775,180.0,top
C702,2.2u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,66.7275,-93.177499,180.0,top
C801,2.2u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,55.722499,-133.4,0.0,top
C802,2.2u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,55.722499,-126.99,0.0,top
C901,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,60.072501,-59.365,0.0,top
C902,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,60.072501,-61.335,0.0,top
C903,1.8p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56.11,-60.605002,180.0,top
C904,10n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,55.97,-67.825,90.0,top
C905,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,53.4,-74.725001,0.0,top
C906,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,53.4,-77.310001,0.0,top
C907,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,53.4,-79.895,0.0,top
C908,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,53.4,-82.48,0.0,top
C909,100u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,53.400001,-85.065,0.0,top
D1101,Vbatt PGOOD,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.87,-42.11,0.0,top
D701,GPS Power,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,71.507501,-89.254999,90.0,top
D801,GPS Power,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,53.032499,-132.3,90.0,top
D901,550m,D_SMA_Handsoldering,52.16,-61.2925,90.0,top
F1101,500mA,Fuse_1812_4532Metric,51.83,-51.9475,-90.0,top
GPS501,LC29HEAMD,Quectel LC49,57.61,-104.509999,0.0,top
J1001,SMA,THT SMA,47.09,-122.51,0.0,top
J401,Connector,Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal,74.48,-141.825,180.0,top
J402,Connector,Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal,74.55,-43.655,0.0,top
L1001,68n,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,41.69,-121.937499,135.0,top
MCU201,Krill,TE_1-2199119-5,91.51,-94.01,180.0,top
Q1101,SI2301CDS-T1-GE3,SOT-23-3,56.99,-51.06,180.0,top
R1001,10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,42.24,-113.24,-90.0,top
R1002,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,47.88,-112.35,-90.0,top
R102,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,66.56,-85.092499,180.0,top
R1101,1.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,51.86,-44.49,0.0,top
R201,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.12,-105.31,90.0,top
R202,0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.23,-101.13,-90.0,top
R701,120,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,69.527501,-89.227499,90.0,top
R801,120,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,53.132499,-128.45,-90.0,top
R901,180k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55.8,-63.905,-90.0,top
R902,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,60.267501,-71.275,180.0,top
R903,3.3k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,63.067502,-71.275,180.0,top
TP205,CANH,TestPoint_Keystone_5019_Miniature,81.33,-53.59,90.0,top
TP206,CANL,TestPoint_Keystone_5019_Miniature,76.74,-53.59,90.0,top
TP301,VBATT_RAW,TestPoint_Keystone_5019_Miniature,60.05,-39.78,180.0,top
TP302,VBATT_PROT,TestPoint_Keystone_5019_Miniature,60.13,-45.06,180.0,top
TP303,+5V,TestPoint_Keystone_5019_Miniature,47.04,-81.92,-90.0,top
TP305,GND,TestPoint_Keystone_5019_Miniature,45.67,-136.702499,0.0,top
TP306,GND,TestPoint_Keystone_5019_Miniature,101.4,-57.57,0.0,top
TP307,GND,TestPoint_Keystone_5019_Miniature,46.69,-42.75,90.0,top
TP308,GND,TestPoint_Keystone_5019_Miniature,65.45,-77.310001,0.0,top
TP501,GPS_UART_RX,TestPoint_Keystone_5019_Miniature,67.87,-101.31,0.0,top
TP502,GPS_UART_TX,TestPoint_Keystone_5019_Miniature,67.87,-104.46,0.0,top
TP503,GPS_WKUP,TestPoint_Keystone_5019_Miniature,47.72,-91.77,90.0,top
TP504,GPS_1PPS,TestPoint_Keystone_5019_Miniature,51.67,-91.77,90.0,top
TP505,GPS_nRST,TestPoint_Keystone_5019_Miniature,55.62,-91.77,90.0,top
TP506,GPS_+3V3,TestPoint_Keystone_5019_Miniature,70.9375,-92.964999,180.0,top
TP601,IMU_+3V3,TestPoint_Keystone_5019_Miniature,54.32,-123.413334,90.0,top
TP602,IMU_INT2,TestPoint_Keystone_5019_Miniature,60.41,-128.166666,180.0,top
TP603,IMU_INT1,TestPoint_Keystone_5019_Miniature,60.52,-117.583334,0.0,top
TP604,IMU_SPI_CS,TestPoint_Keystone_5019_Miniature,66.42,-128.246665,180.0,top
TP605,IMU_SPI_MISO,TestPoint_Keystone_5019_Miniature,66.46,-117.856666,180.0,top
TP606,IMU_SPI_MOSI,TestPoint_Keystone_5019_Miniature,66.42,-121.32,180.0,top
TP607,IMU_SPI_SCK,TestPoint_Keystone_5019_Miniature,66.42,-124.783334,180.0,top
TVS1101,16Vrwm,D_SMA-SMB_Universal_Handsoldering,46.25,-52.62,-90.0,top
U601,LSM6DSOTR,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,59.8575,-123.19083,-90.0,top
U701,TPS7A2033PDBVR,SOT-23-5_HandSoldering,66.6275,-90.077499,-90.0,top
U801,TPS7A2033PDBVR,SOT-23-5_HandSoldering,56.1225,-130.16,90.0,top
U901,TPS5430DDAR,TI_SO-PowerPAD-8,59.745,-66.4025,90.0,top
U902,ETQ-P3M150KVN,BWVS005050404R7M00,52.12,-69.495,-90.0,top
