Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1002",0603,2,22u,C59461
C1003,0805,1,1.8p,C376870
C1004,0603,1,10n,C57112
"C1005, C1006, C1007, C1008, C1009",1206,5,100u,C15008
"C1101, C1201",0402,2,100n,C307331
"C1102, C1103, C1104, C1105, C1202, C1203, C1204, C1205",0402,8,100p,C1546
"C1401, C1402, C1403, C1404",0603,4,10u,C96446
"C201, C202, C203, C204, C503, C504, C601, C602",0402,8,100n,C1525
"C401, C402, C403, C404",0805,4,22u,C45783
"C501, C502",0402,2,33p,C1562
"C505, C506",0603,2,4.7u,C19666
"C701, C702, C801, C802, C901, C902",0402,6,2.2u,C12530
D1001,D_SMA_Handsoldering,1,550m,C22452
"D1201, D1401, D701, D801, D901",0805,5,Green,C2297
F1201,1812,1,500mA,C3762102
"GPS501, GPS502",Quectel LC49,2,LC29HEAMD,
"J1101, J1201",THT SMA,2,SMA,C5199904
"J401, J402",Molex_Micro-Fit_3.0_43650-0400_1x04_P3.00mm_Horizontal,2,Connector,
"L1101, L1201",0402,2,68n,C2044127
MCU201,Krill,1,Krill,C410529
Q1201,SOT-23-3,1,SI2301CDS-T1-GE3,C10487
R1001,0805,1,180k,C17501
R1002,0402,1,10k,C25744
R1003,0402,1,3.3k,C25890
"R1101, R1202",0402,2,10,C25077
"R1102, R1203",0402,2,0,C17168
R1201,0603,1,1.8k,C4177
R1401,0402,1,220,C25091
"R702, R802, R902",0603,3,120,C22787
TP301,TestPoint_Keystone_5019_Miniature,1,SMD Test Point,C5199800
TVS1201,D_SMA-SMB_Universal_Handsoldering,1,16Vrwm,C19077571
U1001,TI_SO-PowerPAD-8,1,TPS5430DDAR,C9864
U1002,BWVS005050404R7M00,1,ETQ-P3M150KVN,C3223274
U1401,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U601,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSOTR,C481766
"U701, U801, U901",SOT-23-5_HandSoldering,3,TPS7A2033PDBVR,TPS7A2033PDBVR
