Designator,Mid X,Mid Y,Rotation,Layer
C1001,147.9215,-103.51875,0.0,top
C1002,147.8715,-105.11875,0.0,top
C1003,145.0715,-104.16875,90.0,top
C1004,151.484,-105.16875,180.0,top
C1005,157.044,-105.61875,0.0,top
C1006,157.8215,-108.11875,0.0,top
C1007,157.8215,-110.61875,0.0,top
C1008,157.8215,-113.16875,0.0,top
C1009,157.8715,-115.66875,0.0,top
C1101,132.795,-101.98,0.0,top
C1103,132.845,-100.83,0.0,top
C1105,132.2375,-89.425,270.0,top
C1201,132.085,-66.36,270.0,top
C1203,133.135,-66.36,270.0,top
C1205,130.91,-77.76,90.0,top
C1401,165.725,-112.8,180.0,top
C1402,165.7375,-111.2,180.0,top
C1403,165.7875,-109.55,180.0,top
C1404,165.7875,-107.95,180.0,top
C201,164.7425,-59.83125,0.0,top
C202,164.7425,-58.83125,0.0,top
C203,164.7425,-57.83125,0.0,top
C204,164.7425,-56.83125,0.0,top
C401,165.24,-77.8,0.0,top
C402,165.24,-79.9,0.0,top
C403,166.1,-93.7,270.0,top
C404,163.975,-93.7125,270.0,top
C501,155.45,-99.1875,270.0,top
C502,159.344,-84.7315,270.0,top
C503,156.49,-99.1975,270.0,top
C504,160.394,-84.6815,270.0,top
C505,154.15,-99.7375,270.0,top
C506,161.744,-85.219,270.0,top
C601,174.27,-57.7,0.0,top
C602,174.27,-58.75,0.0,top
C701,157.1125,-94.8025,90.0,top
C702,161.4625,-99.77,90.0,top
C801,159.844,-86.419,0.0,top
C802,154.194,-83.9315,270.0,top
C901,170.75,-56.55,0.0,top
C902,174.2825,-59.8,0.0,top
D1001,143.3215,-112.04375,90.0,top
D1201,138.509,-108.19375,180.0,top
D1401,172.0375,-114.8,0.0,top
D701,155.7125,-96.97,0.0,top
D801,160.644,-82.519,180.0,top
D901,176.4825,-58.4,270.0,top
F1201,138.884,-113.84375,90.0,top
GPS501,144.8,-78.4,270.0,top
GPS502,144.5125,-94.2,270.0,top
J1101,130.5375,-94.725,0.0,top
J1201,130.66,-72.36,90.0,top
J401,171.285,-79.55,270.0,top
J402,171.29,-96.925,270.0,top
L1101,131.045,-101.48,90.0,top
L1201,131.01,-66.335,90.0,top
MCU201,156.2425,-65.65625,0.0,top
Q1201,133.1465,-111.44375,0.0,top
R1001,151.5215,-103.41875,180.0,top
R1002,154.159,-108.49375,90.0,top
R1003,154.159,-110.89375,90.0,top
R1101,131.6975,-99.73,180.0,top
R1102,133.3375,-89.375,90.0,top
R1201,138.584,-110.04375,180.0,top
R1202,134.185,-66.41,90.0,top
R1203,134.285,-77.685,270.0,top
R1401,175.1875,-114.35,0.0,top
R702,159.2125,-99.52,180.0,top
R802,156.969,-81.269,0.0,top
R902,174.8325,-61.1,0.0,top
TP301,150.8465,-109.79375,270.0,bottom
TVS1201,130.7965,-115.59375,180.0,top
U1001,149.424,-109.86875,180.0,top
U1002,149.4715,-115.64375,0.0,top
U1401,171.9675,-110.16,180.0,top
U601,172.5,-64.65,90.0,top
U701,159.5125,-96.07,90.0,top
U801,156.769,-84.569,270.0,top
U901,171.2,-59.65,90.0,top
